Instrument;ISIN;WKN;Mnemonic;Ticker
STRABAG SE;AT000000STR1;000A0M23V;XD4;STR.VI
FACC AG INH.AKT.;AT00000FACC2;000A1147K;1FC;FACC.VI
RAIFFEISEN BK INTL INH.;AT0000606306;000A0D9SU;RAW;RBI.VI
PORR AG;AT0000609607;000850185;ABS2;POS.VI
LENZING AG;AT0000644505;000852927;LEN;LNZ.VI
ERSTE GROUP BNK INH. O.N.;AT0000652011;000909943;EBO;EBS.VI
TELEKOM AUSTRIA AG;AT0000720008;000588811;TA1;TKA.VI
ANDRITZ AG;AT0000730007;000632305;AZ2;ANDR.VI
OMV AG;AT0000743059;000874341;OMV;OMV.VI
VERBUND AG       INH. A;AT0000746409;000877738;OEWA;VER.VI
FABASOFT AG;AT0000785407;000922985;FAA;FAA.DE
SEMPERIT AG HLDG;AT0000785555;000870378;SEW;SEM.VI
UNIQA INSURANCE GROUP AG;AT0000821103;000928900;UN9;UQA.VI
WIENERBERGER;AT0000831706;000852894;WIB;WIE.VI
ZUMTOBEL GROUP AG INH. A;AT0000837307;000A0JLPR;T9Z;ZAG.VI
ROSENBAUER INTL;AT0000922554;000892502;ROI;ROS.VI
VOESTALPINE AG;AT0000937503;000897200;VAS;VOE.VI
MAYR-MELNHOF KARTON;AT0000938204;000890447;MYM;MMK.VI
SCHOELLER-BLECKMANN OILF.;AT0000946652;000907391;SLL;SBO.VI
AT+S AUSTR.T.+SYSTEMT.;AT0000969985;000922230;AUS;ATS.VI
POLYTEC HLDG AG INH. EO 1;AT0000A00XX9;000A0JL31;P4N;PYT.VI
KONTRON AG O.N;AT0000A0E9W5;000A0X9EJ;KTN;KTN.DE
WOLFTANK GROUP AG    O.N.;AT0000A25NJ6;000A2PBHR;WAH;WOLF.VI
STEYR MOTORS AG;AT0000A3FW25;000A40TC4;4X0;4X0.DE
OESTERREICH. POST AG;AT0000APOST4;000A0JML5;O3P;POST.VI
BAWAG GROUP AG;AT0000BAWAG2;000A2DYJN;0B2;BG.VI
ADDIKO BANK AG INH.;AT000ADDIKO0;000A2PMK5;ZYE1;ADKO.VI
AGRANA BET.AG INH.;AT000AGRANA3;000A2NB37;AGB2;AGR.VI
FREQUENTIS AG;ATFREQUENT09;000A2PHG5;FQT;FQT.F
VULCAN ENERGY RESOURCES;AU0000066086;000A2PV3A;VUL;VUL.AX
AGEAS SA/NV;BE0974264930;000A1J1DR;FO4N;AGS.BR
ANHEUSER-BUSCH INBEV;BE0974293251;000A2ASUV;1NBA;ABI.BR
UMICORE S.A.;BE0974320526;000A2H5A3;NVJP;UMI.BR
SHELLY GROUP PLC     EO 1;BG1100003166;000A2DGX9;SLYG;
EXPAT BUL.SOFIX UCITS ETF;BG9000011163;000A2ARPV;BGX;
EXPAT CROAT.CROBEX UCITS;BGCROEX03189;000A2JB7C;ECDC;ECDC.DE
EXPAT CZECH PX UCITS ETF;BGCZPX003174;000A2JAG6;CZX;CZX.DE
EXPAT GREECE ASE UC.ETF;BGGRASE06174;000A2JAG9;GRX;GRX.DE
EXPAT HUNG. BUX UCITS ETF;BGHUBUX01189;000A2JB7B;HUBE;HUBE.DE
EXPAT MAC.MBI10 UCITS ETF;BGMACMB06181;000A2JB7E;MKK1;
EXPAT POLAND WIG20 U.ETF;BGPLWIG04173;000A2JAHA;PLX;PLX.DE
EXPAT ROMANIA BET-BK U.E.;BGROBET05176;000A2JAHB;ROX;ROX.DE
EXPAT SLOVAK.SAX UCITS;BGSKSAX04187;000A2JB7H;SK9A;SK9A.DE
EXPAT SLOV.SBI TOP UCITS;BGSLOBI02187;000A2JB7F;SLQX;SLQX.DE
EXPAT SERB.BELEX15 UCITS;BGSRBBE05183;000A2JB7D;ESNB;
ALMONTY INDUSTRIES INC.;CA0203981034;000A1JSSD;ALI;AII.TO
BARRICK GOLD CORP.;CA0679011084;000870450;ABR;ABX.TO
BIONXT SOLUTIONS INC.;CA0909741062;000A3D1K3;BXT;BNXT.CN
FIRST MAJESTIC SILVER;CA32076V1031;000A0LHKJ;FMV;AG.TO
KINROSS GOLD CORP.;CA4969024047;000A0DM94;KIN2;K.TO
SERNOVA BIOTHERAPEUTICS;CA81752F1062;000A411DW;PSH0;SVA.TO
WHEATON PREC. METALS;CA9628791027;000A2DRBP;SII;WPM.TO
HIGHLIGHT CMNCTS INH.SF 1;CH0006539198;000920299;HLG;HLG.DE
BB BIOTECH NAM.   SF 0,20;CH0038389992;000A0NFN3;BBZA;BION.SW
EDAG ENGINEERING G.SF-,04;CH0303692047;000A143NB;ED4;ED4.DE
21SHARES HODL BSK ETP OE;CH0445689208;000A2TT3D;21XH;CH0445689208.SG
SWISSNET AG       SF -,10;CH0451123589;000A2QN5W;81D;MLBMD.PA
21SHARES BITCOIN ETP OE;CH0454664001;000A2T64E;2BTC;CH0454664001.SG
21SHARES BITCOIN ETP OE;CH0454664001;000A2T64E;2BTD;CH0454664001.SG
21SHARES ETHER ETP OE;CH0454664027;000A2T68Z;ETHA;CH0454664027.VI
21SHARES ETHER ETP OE;CH0454664027;000A2T68Z;ETHB;CH0454664027.VI
21SHARES XRP ETP OE;CH0454664043;000A2UBKC;21XP;AXRP.SW
21SHARES BTC CASH ETP OE;CH0475552201;000A2126N;ABCH;ABCH.SW
21SHARES AG ETP.Z O.E.;CH0491507486;000A22J1S;AXTZ;CH0491507486.SG
21SHARES BINANCEBNB ETPOE;CH0496454155;000A22GRU;21XJ;CH0496454155.SG
TMC CONTENT GR.AG NAM.SF1;CH0557519201;000A2QQQU;ERO;CH0557519201.SG
LION E-MOBILITY AG SF-,13;CH0560888270;000A2QH97;LMIA;LMIA.F
21SHARES POLKADOT ETP OE;CH0593331561;000A3GPQM;ADOT;CH0593331561.SG
21SHARES CHAINLINK OE;CH1100083471;000A3GW2C;21XL;CH1100083471.SG
21SHARES CARDANO ADA ETP;CH1102728750;000A3GRTN;ADAA;AADA.SW
21SHARES STELLAR XLM OE;CH1109575535;000A3GRTM;XLME;CH1109575535.SG
21SHARES SOLANA ETP OE;CH1114873776;000A3GSS0;ASOL;CH1114873776.SG
21SHARES POLYGON  ETP OE;CH1129538448;000A3GUQJ;POLY;CH1129538448.SG
21SHARES AVALANCHE ETP OE;CH1135202088;000A3GVVT;V21A;CH1135202088.SG
21SHARES UNISWAP ETP OE;CH1135202096;000A3GW2D;2UNI;CH1135202096.SG
21SHARES HODL BSK ETP OE;CH1135202161;000A3GUMV;H21V;CH1135202161.SG
21SHARES HODL BSK ETP OE;CH1135202179;000A3GUMU;21HX;HODLX.SW
21SHARES BOLD1 INDEX OE;CH1146882308;000A3GYXW;BOLD;CH1146882308.SG
21SHARES ALGORAND ETP OE;CH1146882316;000A3GVVU;ALC0;CH1146882316.SG
HASHDEX AG ETP OE;CH1184151731;000A3GY1V;HDX1;CH1184151731.SG
21SHARES BITCOIN ETP OE;CH1199067674;000A3GZ2Z;21BC;CH1199067674.SG
21SHARES ETH CORE ETP OE;CH1209763130;000A3G04G;ETHC;CH1209763130.SG
21SHARES CRYPTO ETPOE;CH1210548892;000A3G10R;2SKE;CH1210548892.SG
21SHARES CRYPTO ETPOE;CH1210548892;000A3G10R;2SKF;CH1210548892.SG
HASHDEX AG ETP OE;CH1218734544;000A3G1MC;HDXM;HAMO.AS
ISSUANCE.SWISS AG  ETP OE;CH1263519386;000A3G5R3;CFB3;CH1263519386.SG
ISSUANCE.SWISS AG  ETP OE;CH1263519386;000A3G5R3;CFBA;CH1263519386.SG
ISSUANCE.SWISS AG  ETP OE;CH1263519394;000A3G5R2;CFMM;CH1263519394.SG
ISSUANCE.SWISS AG  ETP OE;CH1263519394;000A3G5R2;CFMN;CH1263519394.SG
XTRACKERS BITCOIN OENDETC;CH1315732250;000A4AE1S;XXBT;XXBU.DE
XTRACKERS BITCOIN OENDETC;CH1315732250;000A4AE1S;XXBU;XXBU.DE
XTRACKERS ETHER OENDETC;CH1315732268;000A4AE1T;XETH;XETU.DE
XTRACKERS ETHER OENDETC;CH1315732268;000A4AE1T;XETU;XETU.DE
ISSUANCE.SWISS AG ETP OE;CH1327686031;000A4AE84;FFTH;CH1327686031.SG
ISSUANCE.SWISS AG ETP OE;CH1327686031;000A4AE84;FFTI;CH1327686031.SG
ISSUANCE.SWISS AG ETP OE;CH1327686049;000A4AE85;FSOL;CH1327686049.SG
ISSUANCE.SWISS AG ETP OE;CH1327686049;000A4AE85;FSOM;CH1327686049.SG
ISSUANCE.SWISS AG ETP OE;CH1327686056;000A4AFBK;CSLE;CH1327686056.SG
ISSUANCE.SWISS AG ETP OE;CH1327686056;000A4AFBK;CSLF;CH1327686056.SG
LEON.SEC(GG).O.END ETP Z.;CH1381833420;000A4D5C4;EONR;EONR.DE
21SHARES SOLANA ETP O.END;CH1385084384;000A4AKM2;2SCS;CH1385084384.SG
LEON.SEC(GG).O.END ETP Z.;CH1390861214;000A4D5D2;ONCC;ONCC.DE
LEON.SEC(GG).O.END ETP Z.;CH1390861222;000A4D5D3;ONCE;
LEON.SEC(GG).O.END ETP Z.;CH1390861297;000A4D5D5;ONUU;ONUU.DE
LEON.SEC(GG).O.END ETP Z.;CH1390861305;000A4D5D6;ONUE;ONUE.DE
LEON.SEC(GG).ETP O.END;CH1390861313;000A4D5D7;FW50;
MULTITUDE AG  EO 1,85;CH1398992755;000A40VJN;MULT;0R4W.L
HAIER SMART HOME CO.D YC1;CNE1000031C1;000A2JM2W;690D;690D.DE
DK DAX;DE000ETFL011;000ETFL01;EL4A;EL4A.DE
DK DAX (AUSSCHUETTEND);DE000ETFL060;000ETFL06;EL4F;EL4F.DE
DK DAXPLUS MAX.DIVIDEND;DE000ETFL235;000ETFL23;EL4X;EL4X.DE
DK DAX EX FINANCIALS 30;DE000ETFL433;000ETFL43;ELF0;ELF0.DE
AMUNDI-A.DIVDAX2 U.E.DIST;DE000ETF9033;000ETF903;E903;
ISHARES DIVDAX UCITS ETF;DE0002635273;000263527;EXSB;EXSB.DE
ISHS CORE DAX UC.ETF EOA;DE0005933931;000593393;EXS1;
MUF-AMU.SHDAX-2X INV.UE A;FR0010869495;000LYX0FV;LYQL;DSD.PA
MUL AMUN DAX III ETF ACC;LU0252633754;000LYX0AC;LYY7;LYY7.DE
MUL AMUN LEVDAX ETF ACC;LU0252634307;000LYX0AD;LYY8;LVD.PA
XTR.DAX 1C;LU0274211480;000DBX1DA;DBXD;DBXD.DE
XTR.SHORTDAX DAILY SW. 1C;LU0292106241;000DBX1DS;DXSN;DXSN.DE
XTR.SHORTDAX X2 DA.SW. 1C;LU0411075020;000DBX0BY;DBPD;XSD2.L
XTR.LEVDAX DA.SWAP 1C;LU0411075376;000DBX0BZ;DBPE;XLDX.L
XTR.DAX ESG SCR.1D;LU0838782315;000DBX0NH;XDDX;XDDX.DE
VANGUARD-V.GER.A.CAP EOD;IE00BG143G97;000A2JF6S;VGER;VGER.DE
L+G-L+G DAX DAILY 2X LONG;IE00B4QNHH68;000A0X895;DEL2;DL2P.L
L+G-L+G DAX D.2X SHORT;IE00B4QNHZ41;000A0X896;DES2;DS2P.L
AMUNDI-A.DAX50ESG2 UE DIS;DE000ETF9090;000ETF909;E909;E909.DE
MUL AMUN DAX III ETF DIST;LU2090062436;000LYX04A;LDAX;DAXD.SW
MUL AMUN LEVDAX ETF DIST;LU2090062600;000LYX04V;LVDX;LU2090062600.SG
ISHS CORE DAX UC.ETF EOD;DE000A2QP331;000A2QP33;EXIC;EXIC.DE
XTR.DAX 1D;LU1349386927;000DBX0QB;XDDA;LU1349386927.SG
AIS-SHDDA1XIN U.ETFEOD;LU2572257041;000ETF017;AHYK;AHYK.DE
AIS AMUNDI DIVDAX ETF D;LU2611731741;000ETF193;C003;LU2611731741.SG
AIS AMUNDI DAX ETF DIST;LU2611732046;000ETF200;C001;C001.DE
HELIAD AG   NA O.N.;DE0001218063;000121806;A7A;A7A.DE
B+S BANKSYSTEME AG O.N.;DE0001262152;000126215;DTD2;DTD2.DE
ERLEBNIS AKADEMIE AG;DE0001644565;000164456;EAD;EAD.F
ISHARES PFANDBRIEFE U.ETF;DE0002635265;000263526;EXHE;
ISH.S.EU.SEL.DIV.30 U.ETF;DE0002635299;000263529;EXSH;EXSH.DE
ISH.STOX.EUROPE 600 U.ETF;DE0002635307;000263530;EXSA;EXSA.DE
BAADER BANK AG;DE0005088108;000508810;BWB;BWB.DE
UTD.INTERNET AG NA;DE0005089031;000508903;UTDI;UTDI.DE
AMADEUS FIRE AG;DE0005093108;000509310;AAD;AAD.DE
BASLER AG O.N.;DE0005102008;000510200;BSL;BSL.DE
